angle,radius,which
-24.60160074011818,-36.656026175923586,1
-29.886676028083336,-8.341947220422131,2
-26.7842827152961,13.020043613905008,3
-28.25055764111069,35.698578598527604,4
-19.246166983104285,49.06590486322796,5
-8.443887536351543,-32.61843427379521,6
-6.492882386054237,-14.268473686822187,7
-12.205306533954893,12.568961893069773,8
-5.522821106484052,30.14305066277797,9
-5.181558641048152,50.08802477570167,10
14.574639849314806,-35.93552375080297,11
7.847216131340095,-10.450201226689721,12
9.677366170768591,6.226180184599063,13
5.392750475028985,30.96953764223406,14
14.488518798687553,49.127228457834576,15
28.052331587387155,-33.11677638077644,16
28.909394899918748,-14.888000420802893,17
25.27412291658084,10.418500950168927,18
25.196201314468897,26.633000976733356,19
22.998428586702328,43.502057018455716,20
44.259621553058075,-35.06305364269836,21
37.77042537907194,-9.30912061063178,22
36.88935506234611,4.1962504658373145,23
34.3235213126668,28.790742120528424,24
36.36006996041954,41.88090415909846,25
