"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"2840","{""response"":""102""}","enter-sub-number","survey-html-form","0","2873","0.0-0.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","","","","","","",""
"","","","fullscreen","1","9129","0.0-1.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","true","","","","","","","","","","","","",""
"","","","preload","2","9150","0.0-2.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","true","false","[]","[]","[]","","","","","","","","",""
"28384","0","","html-button-response","3","37536","0.0-3.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","<div style= ""font-size:25px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> The experiment will be canceled and your data will be lost <br> if you try to go back or refresh the page at any point during the experiment.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","",""
"31434","","","instructions","4","68975","0.0-4.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","[{""page_index"":0,""viewing_time"":13835},{""page_index"":1,""viewing_time"":9943},{""page_index"":2,""viewing_time"":7656}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","5","84991","0.0-5.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","6","85752","0.0-6.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","","","","","","",""
"4140","","","instructions","7","89895","0.0-7.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","[{""page_index"":0,""viewing_time"":4140}]","","","","","","",""
"null","null","presentPop","canvas-keyboard-response","8","105909","0.0-8.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","","","","","","",""
"null","null","clear_screen","canvas-keyboard-response","9","106668","0.0-9.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","","","","","","",""
"10067","","","instructions","10","116736","0.0-10.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","[{""page_index"":0,""viewing_time"":3362},{""page_index"":1,""viewing_time"":6705}]","","","","","","",""
"11505","7","rating","canvas-keyboard-response","11","129255","0.0-11.0-0.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","58","85","113","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","12","129515","0.0-11.0-1.0","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","58","85","113","10","25","",""
"9475","6","rating","canvas-keyboard-response","13","139000","0.0-11.0-0.1","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","99","140","113","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","14","139258","0.0-11.0-1.1","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","99","140","113","10","25","",""
"2955","2","rating","canvas-keyboard-response","15","142224","0.0-11.0-0.2","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","122","30","85","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","16","142484","0.0-11.0-1.2","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","122","30","85","17","33","",""
"5159","6","rating","canvas-keyboard-response","17","147657","0.0-11.0-0.3","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","85","113","140","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","18","147917","0.0-11.0-1.3","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","85","113","140","10","33","",""
"4710","6","rating","canvas-keyboard-response","19","152640","0.0-11.0-0.4","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","90","113","140","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","20","152899","0.0-11.0-1.4","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","90","113","140","10","40","",""
"2186","1","rating","canvas-keyboard-response","21","155095","0.0-11.0-0.5","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","66","85","57","10","40","0",""
"null","null","clear_screen","canvas-keyboard-response","22","155354","0.0-11.0-1.5","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","66","85","57","10","40","",""
